date,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_SOLAR_GENERATION,wind_shortfall
2026-01-02,28962.197916666664,31896.270833333332,26767.989583333336,3742.635416666667,954.5729166666667,-1447.6873206051196
2026-01-09,35356.916666666664,38206.24702380953,32098.511904761905,2279.0446428571427,873.6547619047618,15.903453204404741
2026-01-16,33297.57440476191,35603.36309523809,30721.199404761905,2562.651785714286,600.7619047619048,-267.7036896527384
2026-01-23,32074.79464285714,34614.604166666664,29613.10714285714,2675.8184523809527,413.3511904761905,-380.87035631940535
2026-01-30,32409.113095238095,35109.25,30034.011904761905,3100.875,609.8779761904761,-805.9269039384526
2026-02-06,32518.0505952381,35121.27678571428,29939.872023809523,2670.145833333333,504.25892857142856,-375.1977372717856
2026-02-13,32006.854166666664,36345.467261904756,29365.922619047615,1895.4613095238094,584.7797619047619,399.486786537738
2026-02-20,32198.026785714286,35757.06547619047,29566.11904761905,2664.916666666667,1085.595238095238,-369.96857060511957
2026-02-27,28200.08630952381,31311.41964285714,26048.970238095237,3028.3184523809527,1271.9970238095236,-733.3703563194053
2026-03-06,28561.675595238095,31150.449404761905,26143.214285714286,1916.169642857143,1817.5744047619048,378.7784532044045
2026-03-13,28621.988095238095,30987.526785714286,26528.988095238095,2850.5297619047624,1420.139880952381,-555.581665843215
2026-03-20,26887.479166666664,29449.895833333336,24731.791666666668,2204.7113095238096,2856.336309523809,90.23678653773777
2026-03-27,27107.089285714286,29478.761904761905,24957.839285714286,2409.827380952381,2505.297619047619,-114.87928489083379
2026-04-03,25954.185817805384,29192.068969979297,23932.932194616977,2950.966744306418,2408.7283902691515,-656.0186482448707
2026-04-10,23059.389880952378,25592.470238095237,21019.401785714286,2406.565476190476,3429.8214285714284,-111.61738012892874
2026-04-17,24245.50595238095,28435.059523809523,22417.133928571428,2962.625,2886.1190476190473,-667.6769039384526
2026-04-24,23016.464285714286,25038.229166666664,20756.02380952381,1465.6488095238094,4539.389880952381,829.299286537738
2026-05-01,22484.95535714286,24621.27380952381,20199.883928571428,1370.0059523809525,4482.616071428572,924.9421436805949
2026-05-08,23827.803571428572,26417.64880952381,21623.339285714286,823.7916666666667,3002.9315476190473,1471.1564293948807
2026-05-15,23173.11904761905,24771.21130952381,21053.526785714286,1711.7619047619048,3624.5565476190473,583.1861912996426
2026-05-22,23083.13095238095,25115.800595238095,21021.860119047615,1813.5744047619048,3274.5803571428573,481.3736912996426
2026-05-29,20875.104166666664,22694.49583333333,18979.641666666666,982.8125,5101.1208333333325,1312.1355960615474
