date,dragon_lng_outflow,isle_of_grain_lng_outflow,south_hook_lng_outflow,total_lng_outflow,low_lng_sendout_pressure
2026-01-02,171643181.5,98720062.5,215784184.0,486147428.0,-0.9716734040416489
2026-01-09,173087061.7142857,216029037.0,218952845.2857143,608068944.0,-1.6175768878105212
2026-01-16,76143951.14285715,210851741.57142857,312283895.71428573,599279588.4285715,-1.571013528282831
2026-01-23,126426302.71428572,111978832.57142857,171261361.7142857,409666497.0,-0.5665004584002353
2026-01-30,177881141.14285713,201418680.42857143,174952673.85714287,554252495.4285715,-1.332473546277645
2026-02-06,226291263.57142857,164290539.14285713,183378672.2857143,573960475.0,-1.4368804883897448
2026-02-13,16172189.285714285,187550067.42857143,114812667.0,318534923.71428573,-0.0837128209287562
2026-02-20,189640542.0,152719967.14285713,251233766.85714287,593594276.0,-1.5408944547640209
2026-02-27,177003817.57142857,54412385.428571425,162901636.0,394317839.0,-0.4851878894737058
2026-03-06,134190286.57142857,64937670.85714286,134843970.14285713,333971927.5714286,-0.1654934196073528
2026-03-13,98382179.71428572,36965280.428571425,238782563.85714287,374130024.0,-0.37823892372936996
2026-03-20,87334298.85714285,41463648.14285714,156044000.2857143,284841947.28571427,0.0947824239446491
2026-03-27,108158086.0,156845460.7142857,168080220.85714287,433083767.5714286,-0.690558107440984
2026-04-03,101995271.28571428,43563550.14285714,143493127.57142857,289051949.0,0.07247910240515906
2026-04-10,135474.0,30875882.14285714,54685047.14285714,85696403.28571428,1.149795557530088
2026-04-17,47400581.14285714,36410873.428571425,41808175.28571428,125619629.85714285,0.9382943231968491
2026-04-24,36844698.14285714,61865711.428571425,50397824.28571428,149108233.85714287,0.8138587711285212
2026-05-01,38732058.0,76364414.14285715,54674638.571428575,169771110.7142857,0.7043930706961565
2026-05-08,41005.42857142857,54728695.428571425,55448756.571428575,110218457.42857143,1.0198850977549623
2026-05-15,3909114.285714286,65471434.85714286,54618651.14285714,123999200.28571428,0.9468788711890823
2026-05-22,23513816.57142857,71861008.71428572,43398986.428571425,138773811.7142857,0.8686074281646561
2026-05-29,1477015.4285714286,43851641.571428575,48275177.71428572,93603834.71428572,1.1079043665824806
2026-06-05,224407.14285714287,48365898.71428572,57204395.28571428,105794701.14285715,1.043320826656884
2026-06-12,66580.14285714286,47205341.428571425,62080944.0,109352865.57142857,1.0244707428026383
2026-06-19,91982.28571428571,61918529.571428575,41478939.28571428,103489451.14285715,1.0555333470946893
