scenario,price_shock_pct,hedge_ratio,hedge_cover_pct,unhedged_volume_mwh,cost_impact_gbp
Base case,0.0,0.0,0.0,10000.0,0.0
Base case,0.0,0.25,25.0,7500.0,0.0
Base case,0.0,0.5,50.0,5000.0,0.0
Base case,0.0,0.6,60.0,4000.0,0.0
Base case,0.0,0.75,75.0,2500.0,0.0
Base case,0.0,1.0,100.0,0.0,0.0
Tight winter,13.25,0.0,0.0,10000.0,43714.40708906718
Tight winter,13.25,0.25,25.0,7500.0,32785.80531680038
Tight winter,13.25,0.5,50.0,5000.0,21857.20354453359
Tight winter,13.25,0.6,60.0,4000.0,17485.762835626872
Tight winter,13.25,0.75,75.0,2500.0,10928.601772266795
Tight winter,13.25,1.0,100.0,0.0,0.0
LNG stress,14.25,0.0,0.0,10000.0,47013.60762409109
LNG stress,14.25,0.25,25.0,7500.0,35260.20571806832
LNG stress,14.25,0.5,50.0,5000.0,23506.803812045546
LNG stress,14.25,0.6,60.0,4000.0,18805.443049636437
LNG stress,14.25,0.75,75.0,2500.0,11753.401906022773
LNG stress,14.25,1.0,100.0,0.0,0.0
European TTF stress,15.75,0.0,0.0,10000.0,51962.408426626964
European TTF stress,15.75,0.25,25.0,7500.0,38971.80631997022
European TTF stress,15.75,0.5,50.0,5000.0,25981.204213313482
European TTF stress,15.75,0.6,60.0,4000.0,20784.963370650785
European TTF stress,15.75,0.75,75.0,2500.0,12990.602106656741
European TTF stress,15.75,1.0,100.0,0.0,0.0
Weak demand,-11.5,0.0,0.0,10000.0,-37940.806152775294
Weak demand,-11.5,0.25,25.0,7500.0,-28455.604614581473
Weak demand,-11.5,0.5,50.0,5000.0,-18970.403076387647
Weak demand,-11.5,0.6,60.0,4000.0,-15176.322461110118
Weak demand,-11.5,0.75,75.0,2500.0,-9485.201538193824
Weak demand,-11.5,1.0,100.0,0.0,-0.0
