date,real_driver_gti,hdd,hdd_dev,wind_shortfall,sap_price_gbp_per_mwh,sap_price_change_gbp_per_mwh,sap_weekly_return_pct
2026-03-06,0.3983507334277002,46.920833333333334,4.428666666666665,378.7784532044045,39.077714285714286,13.727285714285712,54.15011298766432
2026-03-13,-0.8133039530646878,50.94166666666666,8.449499999999993,-555.581665843215,45.59728571428571,6.519571428571425,16.683604831398235
2026-01-23,-0.245016230740485,58.125,15.63283333333333,-380.87035631940535,33.597857142857144,5.173285714285715,18.200048247994705
2026-02-06,0.1201112651397989,66.40833333333333,23.916166666666665,-375.1977372717856,30.890428571428572,-4.1091428571428565,-11.740551925125608
2026-05-29,-0.23896120566843,0.0,-42.49216666666667,1312.1355960615474,39.44414285714286,-4.075571428571422,-9.364885536275825
2026-04-10,-0.7779517070870468,36.483333333333334,-6.008833333333335,-111.61738012892874,41.08914285714286,-3.2674285714285674,-7.366278470576104
2026-02-13,0.8313395146158805,56.2625,13.770333333333326,399.486786537738,27.654428571428575,-3.235999999999997,-10.47573682092927
2026-05-22,-0.5540261104774168,21.275,-21.21716666666667,481.3736912996426,43.51971428571428,3.188428571428574,7.905596151870764
2026-04-17,-1.503215506684945,38.77916666666667,-3.713000000000001,-667.6769039384526,38.20642857142857,-2.882714285714293,-7.015756682335283
2026-04-03,-1.093329387440593,47.89583333333333,5.403666666666659,-656.0186482448707,44.35657142857143,-2.545428571428566,-5.4271215970077336
